4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
Lennox Employees,64234,4,Marshalltown,,USA,IA,Midwest,"$61,910,045",Very Small,"6,505","$55,512,858","11,686","$38,298,676","3,015",69.0%,,,,,"$9,517",2.26,$6.94,"$6,381",,,,,,,,,,,,,,,,,,,,,,,
Atlantic City Electric Co Emp,3755,4,Mays Landing,,USA,NJ,Mid-Atlantic,"$61,902,439",Very Small,"3,856","$57,308,873","7,590","$19,038,977","1,497",33.2%,,,,,"$16,054",2.36,$18.46,"$8,402",,,,,,,,,,,,,,,,,,,,,,,
Hawaii First,10938,4,Kamuela,,USA,HI,Western,"$61,876,698",Very Small,"6,900","$39,492,628","8,489","$49,039,923","1,992",124.2%,Y,Y,Y,,"$8,968",1.52,-$5.48,"$8,447",,,,,,,,,,,,,,,,,,,,,,,
L C E,13885,4,Painesville,,USA,OH,Midwest,"$61,663,676",Very Small,"5,846","$57,349,066","9,671","$34,164,303","3,073",59.6%,,,,,"$10,548",2.18,$21.03,"$7,181",,,,,,,,,,,,,,,,,,,,,,,
United Poles,16577,4,Perth Amboy,,USA,NJ,Mid-Atlantic,"$61,641,878",Very Small,"2,016","$51,939,195","7,967","$46,963,845","2,208",90.4%,,,,,"$30,576",5.05,-$40.24,"$9,720",,,,,,,,,,,,,,,,,,,,,,,
Franklin Trust,12,4,Hartford,,USA,CT,New England,"$61,526,262",Very Small,"9,133","$56,663,797","22,529","$27,050,615","8,001",47.7%,,,,,"$6,737",3.34,-$5.85,"$2,742",,,,,,,,,,,,,,,,,,,,,,,
Freestone,68005,4,Teague,,USA,TX,South Central,"$61,509,097",Very Small,"4,826","$54,960,205","9,097","$32,202,187","1,691",58.6%,,,,,"$12,745",2.24,$25.31,"$8,080",,,,,,,,,,,,,,,,,,,,,,,
Parishioners,14650,4,Torrance,,USA,CA,Western,"$61,479,981",Very Small,"3,448","$56,861,402","5,434","$36,694,311","1,817",64.5%,,,,,"$17,831",2.10,$45.04,"$12,902",,,,,,,,,,,,,,,,,,,,,,,
Raytown-lee's Summit Community,62815,4,Raytown,,USA,MO,South Central,"$61,304,370",Very Small,"7,590","$56,569,355","12,098","$33,915,365","4,663",60.0%,,,,,"$8,077",2.21,-$12.82,"$5,399",,,,,,,,,,,,,,,,,,,,,,,
Stoneham Municipal Employees,15393,4,Stoneham,,USA,MA,New England,"$61,273,848",Very Small,"3,920","$52,484,125","6,248","$20,085,339","1,274",38.3%,,,,,"$15,631",1.92,$22.50,"$9,648",,,,,,,,,,,,,,,,,,,,,,,
Millstream Area,96756,4,Findlay,,USA,OH,Midwest,"$61,265,402",Very Small,"7,821","$54,244,279","14,509","$31,172,371","3,200",57.5%,,,,,"$7,833",2.26,$20.97,"$4,823",,,,,,,,,,,,,,,,,,,,,,,
Alliance Credit Union Of Florida,67432,4,Gainesville,,USA,FL,Southeast,"$61,201,590",Very Small,"5,833","$58,692,010","9,346","$47,245,719","4,153",80.5%,,,,,"$10,492",2.31,-$138.55,"$7,848",,,,,,,,,,,,,,,,,,,,,,,
Pitney Bowes Employees,1399,4,Shelton,,USA,CT,New England,"$61,195,992",Very Small,"3,722","$49,258,314","5,183","$16,382,054","1,330",33.3%,,,,,"$16,442",1.75,-$3.77,"$10,078",,,,,,,,,,,,,,,,,,,,,,,
Galaxy,4116,4,Franklin,,USA,PA,Mid-Atlantic,"$61,150,349",Very Small,"4,656","$49,632,213","7,897","$31,440,701","1,723",63.3%,,,,,"$13,134",2.07,$24.18,"$8,428",,,,,,,,,,,,,,,,,,,,,,,
Doy,20661,4,Youngstown,,USA,OH,Midwest,"$61,072,746",Very Small,"2,350","$51,921,173","3,076","$25,409,023",544,48.9%,,,,,"$25,988",1.54,$35.67,"$21,362",,,,,,,,,,,,,,,,,,,,,,,
Priority,67319,4,Orlando,,USA,FL,Southeast,"$61,031,658",Very Small,"5,218","$53,013,443","15,566","$47,173,084","118,567",89.0%,Y,Y,Y,,"$11,696",25.71,$0.95,$747,,,,,,,,,,,,,,,,,,,,,,,
Cosden,1750,4,Big Spring,,USA,TX,South Central,"$60,998,365",Very Small,"4,412","$54,229,434","7,333","$24,628,041","2,475",45.4%,,,,,"$13,826",2.22,$74.05,"$8,040",,,,,,,,,,,,,,,,,,,,,,,
Gale,60327,4,Galesburg,,USA,IL,Midwest,"$60,960,430",Very Small,"5,091","$52,143,336","8,822","$34,375,265","4,403",65.9%,,,,,"$11,974",2.60,$17.34,"$6,542",,,,,,,,,,,,,,,,,,,,,,,
Great Falls Regional,10221,4,Lewiston,,USA,ME,New England,"$60,956,918",Very Small,"4,989","$53,392,298","9,846","$19,321,621","1,227",36.2%,,,,,"$12,218",2.22,$18.76,"$6,567",,,,,,,,,,,,,,,,,,,,,,,
Great Lakes FCU (MI),24874,4,Bay City,,USA,MI,Midwest,"$60,915,910",Very Small,"4,612","$51,885,722","9,073","$27,862,013","1,997",53.7%,,,,,"$13,208",2.40,$4.04,"$7,204",,,,,,,,,,,,,,,,,,,,,,,
Escondido,13402,4,Escondido,,USA,CA,Western,"$60,914,056",Very Small,"2,107","$53,369,532","5,663","$20,412,674","1,299",38.2%,,,,Y,"$28,910",3.30,$97.26,"$10,598",,,,,,,,,,,,,,,,,,,,,,,
Kellogg Midwest,5286,4,Lavista,,USA,NE,Midwest,"$60,659,878",Very Small,"2,787","$48,585,163","5,308","$35,859,716","1,348",73.8%,,,,,"$21,765",2.39,$24.68,"$12,687",,,,,,,,,,,,,,,,,,,,,,,
Cochise,60151,4,Willcox,,USA,AZ,Western,"$60,645,336",Very Small,"5,419","$50,700,416","11,085","$43,799,890","2,931",86.4%,,,,,"$11,191",2.59,$48.64,"$6,742",,,,,,,,,,,,,,,,,,,,,,,
Element,23162,4,Charleston,,USA,WV,Mid-Atlantic,"$60,634,864",Very Small,"4,458","$49,082,664","9,469","$33,102,687","3,317",67.4%,Y,Y,Y,,"$13,601",2.87,$45.24,"$6,428",,,,,,,,,,,,,,,,,,,,,,,
H M S A Employees,14303,4,Honolulu,,USA,HI,Western,"$60,633,777",Very Small,"2,937","$52,254,075","4,414","$8,898,061",497,17.0%,,,,,"$20,645",1.67,-$58.81,"$12,452",,,,,,,,,,,,,,,,,,,,,,,
Notre Dame Community,2792,4,Fall River,,USA,MA,New England,"$60,487,021",Very Small,"3,414","$53,415,365","6,245","$18,690,939",471,35.0%,,,,,"$17,717",1.97,$4.38,"$10,736",,,,,,,,,,,,,,,,,,,,,,,
Access,61101,4,Bristol,,USA,PA,Mid-Atlantic,"$60,484,231",Very Small,"4,444","$53,333,178","8,908","$34,105,045","1,564",63.9%,,,,,"$13,610",2.36,$16.94,"$8,350",,,,,,,,,,,,,,,,,,,,,,,
New Hampshire Postal,66207,4,Manchester,,USA,NH,New England,"$60,402,912",Very Small,"3,130","$48,230,169","7,219","$14,772,152","1,049",30.6%,,,,,"$19,298",2.64,$103.42,"$7,620",,,,,,,,,,,,,,,,,,,,,,,
Firefighters,67079,4,Salt Lake City,,USA,UT,Western,"$60,248,984",Very Small,"3,513","$49,627,395","8,358","$45,447,374","2,721",91.6%,,,,Y,"$17,150",3.15,$14.71,"$8,582",,,,,,,,,,,,,,,,,,,,,,,
Calcasieu Teachers And Employees,63142,4,Lake Charles,,USA,LA,Southeast,"$60,190,625",Very Small,"4,763","$50,947,313","6,311","$26,233,032","1,564",51.5%,,,,,"$12,637",1.65,$27.40,"$9,801",,,,,,,,,,,,,,,,,,,,,,,
Horizon CU (TN),68138,4,Kingsport,,USA,TN,Southeast,"$60,108,473",Very Small,"4,369","$53,560,359","8,215","$40,454,566","2,055",75.5%,Y,Y,Y,,"$13,758",2.35,$3.58,"$9,154",,,,,,,,,,,,,,,,,,,,,,,
Winston-salem,24814,4,Winston Salem,,USA,NC,Southeast,"$59,848,241",Very Small,"9,020","$51,820,654","18,444","$19,911,990","2,471",38.4%,,,,,"$6,635",2.32,-$9.71,"$3,430",,,,,,,,,,,,,,,,,,,,,,,
Sru,12654,4,Slippery Rock,,USA,PA,Mid-Atlantic,"$59,837,580",Very Small,"4,096","$52,511,802","8,025","$36,891,031","2,184",70.3%,,,,,"$14,609",2.49,$17.87,"$8,757",,,,,,,,,,,,,,,,,,,,,,,
Financial Security,62452,4,Carlsbad,,USA,NM,Western,"$59,760,973",Very Small,"5,163","$51,188,788","9,086","$42,195,078","2,226",82.4%,,,,,"$11,575",2.19,$45.23,"$8,255",,,,,,,,,,,,,,,,,,,,,,,
Parkview Community,479,4,Mckeesport,,USA,PA,Mid-Atlantic,"$59,733,869",Very Small,"7,860","$52,294,154","12,642","$35,200,698","1,974",67.3%,,,,,"$7,600",1.86,$11.86,"$5,986",,,,,,,,,,,,,,,,,,,,,,,
Madison,66431,4,Madison,,USA,WI,Midwest,"$59,722,571",Very Small,"3,115","$53,467,853","6,486","$25,276,128","79,173",47.3%,,,,,"$19,173",27.50,$42.89,$919,,,,,,,,,,,,,,,,,,,,,,,
Acclaim,23386,4,Greensboro,,USA,NC,Southeast,"$59,682,333",Very Small,"5,466","$51,328,588","9,887","$42,578,926","7,235",83.0%,,,,,"$10,919",3.13,$47.39,"$5,485",,,,,,,,,,,,,,,,,,,,,,,
Total Choice,22369,4,Hahnville,,USA,LA,Southeast,"$59,573,825",Very Small,"5,117","$54,359,133","8,933","$22,723,657","2,565",41.8%,,Y,Y,,"$11,642",2.25,-$24.62,"$6,704",,,,,,,,,,,,,,,,,,,,,,,
KEMBA Louisville CU,62358,4,Louisville,,USA,KY,Southeast,"$59,499,576",Very Small,"4,326","$47,640,470","7,674","$13,714,572","1,599",28.8%,,,,,"$13,754",2.14,$2.03,"$6,617",,,,,,,,,,,,,,,,,,,,,,,
Wvu Employees,14611,4,Morgantown,,USA,WV,Mid-Atlantic,"$59,454,147",Very Small,"5,698","$47,399,572","10,311","$29,850,360","2,816",63.0%,,,,,"$10,434",2.30,$53.49,"$5,885",,,,,,,,,,,,,,,,,,,,,,,
Plymouth County Teachers,14850,4,West Wareham,,USA,MA,New England,"$59,445,216",Very Small,"3,832","$53,692,587","7,514","$33,016,899","1,760",61.5%,,,,,"$15,513",2.42,$8.79,"$9,350",,,,,,,,,,,,,,,,,,,,,,,
Big Spring Education Employees,10577,4,Big Spring,,USA,TX,South Central,"$59,440,292",Very Small,"4,166","$50,125,083","6,868","$21,375,323","1,820",42.6%,,,,,"$14,268",2.09,$79.49,"$8,230",,,,,,,,,,,,,,,,,,,,,,,
Gundersen,66477,4,La Crosse,,USA,WI,Midwest,"$59,278,883",Very Small,"3,566","$51,373,559","7,810","$44,474,528","2,637",86.6%,,,,Y,"$16,623",2.93,$0.39,"$9,175",,,,,,,,,,,,,,,,,,,,,,,
Evergreen,66395,4,Neenah,,USA,WI,Midwest,"$59,277,570",Very Small,"3,400","$51,471,922","8,248","$40,085,776","2,769",77.9%,,,,Y,"$17,435",3.24,$54.41,"$8,311",,,,,,,,,,,,,,,,,,,,,,,
Select FCU,3064,4,San Antonio,,USA,TX,South Central,"$59,150,432",Very Small,"6,155","$37,992,948","9,731","$50,394,902","3,131",132.6%,Y,,Y,,"$9,610",2.09,$3.85,"$6,872",,,,,,,,,,Y,,,,,,,,,,,,,
Penn,20207,4,Philadelphia,,USA,PA,Mid-Atlantic,"$59,038,626",Very Small,"6,795","$44,333,694","9,181","$19,316,511","3,135",43.6%,,,,,"$8,689",1.81,-$4.33,"$5,168",,,,,,,,,,,,,,,,,,,,,,,
Vital,24536,4,Spartanburg,,USA,SC,Southeast,"$59,008,914",Very Small,"6,396","$49,799,650","11,285","$43,141,219","3,788",86.6%,,,,,"$9,226",2.36,$27.09,"$6,166",,,,,,,,,,,,,,,,,,,,,,,
Mohave Community,12000,4,Kingman,,USA,AZ,Western,"$58,955,414",Very Small,"5,138","$51,686,292","7,256","$38,744,573","2,305",75.0%,,,,,"$11,474",1.86,$39.15,"$9,458",,,,,,,,,,,,,,,,,,,,,,,
C C S E,22754,4,Salamanca,,USA,NY,Mid-Atlantic,"$58,870,097",Very Small,"5,650","$53,460,441","10,304","$25,708,792","1,818",48.1%,,,,,"$10,419",2.15,$15.12,"$6,531",,,,,,,,,,,,,,,,,,,,,,,
United Employees,60263,4,Albert Lea,,USA,MN,Midwest,"$58,781,177",Very Small,"4,138","$50,900,667","7,145","$26,903,470","2,174",52.9%,,,,,"$14,205",2.25,$27.48,"$8,349",,,,,,,,,,,,,,,,,,,,,,,
7 17 CU,6079,4,Johnson City,,USA,TN,Southeast,"$58,772,610",Very Small,"5,779","$48,137,152","9,615","$47,349,398","3,259",98.4%,,Y,Y,,"$10,170",2.23,$11.68,"$7,417",,,,,,Y,,,,,,,,,,,,,,,,,
University Of South Alabama,13659,4,Mobile,,USA,AL,Southeast,"$58,767,281",Very Small,"8,751","$51,568,214","13,419","$30,419,938","2,593",59.0%,,,,,"$6,715",1.83,$46.77,"$5,120",,,,,,,,,,,,,,,,,,,,,,,
Palmetto First,24491,4,Florence,,USA,SC,Southeast,"$58,756,366",Very Small,"6,300","$47,693,828","11,060","$38,057,392","3,673",79.8%,,,,,"$9,326",2.34,$42.93,"$5,820",,,,,,,,,,,,,,,,,,,,,,,
River Valley Community,8812,4,Camden,,USA,AR,South Central,"$58,728,925",Very Small,"6,904","$51,272,272","10,502","$39,437,436","2,813",76.9%,,,,,"$8,507",1.93,$26.73,"$6,813",,,,,,,,,,,,,,,,,,,,,,,
Responders Emergency Services CU,68305,4,Spokane,,USA,WA,Cascadia,"$58,646,619",Very Small,"2,510","$49,420,615","6,135","$38,677,381","2,005",78.3%,,,,Y,"$23,365",3.24,$36.95,"$10,823",,,,,,,,,,,,,,,,,,,,,,,
Access,97097,4,Broadview,,USA,IL,Midwest,"$58,629,517",Very Small,"5,093","$50,701,387","8,519","$31,523,327","2,518",62.2%,,,,,"$11,512",2.17,$5.63,"$7,450",,,,,,,,,,,,,,,,,,,,,,,
Focus,66451,4,Menomonee Falls,,USA,WI,Midwest,"$58,571,053",Very Small,"6,753","$52,013,519","13,254","$45,896,500","4,359",88.2%,,,,,"$8,673",2.61,$36.14,"$5,559",,,,,,,,,,,,,,,,,,,,,,,
Delta Schools,24492,4,Antioch,,USA,CA,Western,"$58,492,517",Very Small,"3,051","$52,976,230","6,559","$27,526,611","1,431",52.0%,,,,Y,"$19,172",2.62,$44.44,"$10,075",,,,,,,,,,,,,,,,,,,,,,,
Jacom,63589,4,Los Angeles,,USA,CA,Western,"$58,334,992",Very Small,"8,075","$51,267,617","9,930","$13,251,509",679,25.8%,,,,,"$7,224",1.31,-$15.56,"$6,082",,,,,,,,,,,,,,,,,,,,,,,
First Pioneers,24783,4,Lafayette,,USA,LA,Southeast,"$58,305,170",Very Small,"6,580","$48,971,135","10,646","$41,400,802","3,734",84.5%,Y,Y,Y,,"$8,861",2.19,-$22.43,"$6,285",,,,,,,,,,,,,,,,,,,,,,,
Embarrass Vermillion,4708,4,Aurora,,USA,MN,Midwest,"$58,291,186",Very Small,"4,813","$49,438,637","9,743","$43,086,433","2,948",87.2%,Y,Y,Y,,"$12,111",2.64,$63.10,"$7,291",,,,,,,,,,,,,,,,,,,,,,,
Green River Area,12852,4,Owensboro,,USA,KY,Southeast,"$58,180,313",Very Small,"5,119","$45,412,716","6,793","$33,969,321","1,505",74.8%,,,,,"$11,366",1.62,$23.94,"$9,566",,,,,,,,,,,,,,,,,,,,,,,
Diamond FCU (DFCU Tulsa),19355,4,Tulsa,,USA,OK,South Central,"$58,055,439",Very Small,"8,689","$49,416,652","11,474","$42,450,925","3,042",85.9%,,,,,"$6,681",1.67,-$3.81,"$6,329",,,,,,,,,,,,,,,,,,,,,,,
Everglades,24204,4,Clewiston,,USA,FL,Southeast,"$57,996,254",Very Small,"5,533","$51,900,787","9,216","$35,218,666","2,971",67.9%,,,,,"$10,482",2.20,-$15.95,"$7,149",,,,,,,,,,,,,,,,,,,,,,,
Topmark,15438,4,Cridersville,,USA,OH,Midwest,"$57,982,893",Very Small,"9,172","$52,371,806","14,850","$37,351,104","5,022",71.3%,Y,,Y,,"$6,322",2.17,$3.99,"$4,515",,,,,,,,,,,,,,,,,,,,,,,
Meridian Mutual,8433,4,Meridian,,USA,MS,Southeast,"$57,973,462",Very Small,"6,782","$49,976,165","12,872","$25,300,127","2,348",50.6%,,,,,"$8,548",2.24,$13.35,"$4,946",,,,,,,,,,,,,,,,,,,,,,,
Merho,20921,4,Johnstown,,USA,PA,Mid-Atlantic,"$57,959,741",Very Small,"4,732","$51,880,089","9,817","$18,791,043","1,901",36.2%,,,,,"$12,248",2.48,$11.42,"$6,031",,,,,,,,,,,,,,,,,,,,,,,
University Of Louisiana,12570,4,Lafayette,,USA,LA,Southeast,"$57,906,656",Very Small,"6,670","$52,778,158","11,284","$37,678,496","2,643",71.4%,Y,Y,Y,,"$8,682",2.09,-$4.55,"$6,495",,,,,,,,,,,,,,,,,,,,,,,
Texas Telcom,67490,4,Dallas,,USA,TX,South Central,"$57,885,275",Very Small,"4,037","$50,180,749","5,097","$30,100,930","4,093",60.0%,,,,,"$14,339",2.28,-$19.69,"$8,736",,,,,,,,,,,,,,,,,,,,,,,
Vision Financial,13492,4,Durham,,USA,NC,Southeast,"$57,805,446",Very Small,"6,653","$48,630,091","11,699","$20,394,641","3,998",41.9%,,,,,"$8,689",2.36,$29.23,"$4,397",,,,,,,,,,,,,,,,,,,,,,,
Lifetime,6012,4,Richardson,,USA,TX,South Central,"$57,745,563",Very Small,"4,545","$47,018,727","7,865","$31,865,955","3,260",67.8%,,,,,"$12,705",2.45,-$4.34,"$7,091",,,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,60967,4,Huntington Beac,,USA,CA,Western,"$57,658,882",Very Small,"1,996","$50,895,969","3,679","$15,479,094","3,952",30.4%,,,,,"$28,887",3.82,-$6.19,"$8,698",,,,,,,,,,,,,,,,,,,,,,,
Five Star Of Maryland,19668,4,Baltimore,,USA,MD,Mid-Atlantic,"$57,512,115",Very Small,"5,092","$50,221,879","8,608","$26,379,778","2,155",52.5%,,,,,"$11,295",2.11,$1.07,"$7,117",,,,,,,,,,,,,,,,,,,,,,,
Copper Basin,16773,4,Copperhill,,USA,TN,Southeast,"$57,472,975",Very Small,"5,723","$49,291,987","9,088","$43,864,852","3,373",89.0%,Y,Y,Y,,"$10,042",2.18,$54.55,"$7,476",,,,,,,,,,,,,,,,,,,,,,,
Federated Employees,64703,4,Owatonna,,USA,MN,Midwest,"$57,456,160",Very Small,"4,783","$49,525,377","8,395","$33,768,489","1,942",68.2%,,,,,"$12,013",2.16,-$1.55,"$8,058",,,,,,,,,,,,,,,,,,,,,,,
Share Advantage,60242,4,Duluth,,USA,MN,Midwest,"$57,404,044",Very Small,"3,945","$51,290,670","7,101","$35,583,026","1,429",69.4%,,,,,"$14,551",2.16,$33.53,"$10,184",,,,,,,,,,,,,,,,,,,,,,,
Eddy,9566,4,Carlsbad,,USA,NM,Western,"$57,250,887",Very Small,"4,946","$41,915,913","6,992","$39,546,775","2,155",94.3%,,,,,"$11,575",1.85,$23.74,"$8,906",,,,,,,,,,,,,,,,,,,,,,,
New Century,1251,4,Joliet,,USA,IL,Midwest,"$57,112,618",Very Small,"4,430","$49,269,617","7,054","$23,009,849","1,764",46.7%,,,,,"$12,892",1.99,-$3.18,"$8,197",,,,,,,,,,,,,,,,,,,,,,,
United Northwest,6214,4,Norton,,USA,KS,South Central,"$57,049,614",Very Small,"2,486","$48,742,073","4,972","$20,479,963","1,209",42.0%,,,,,"$22,948",2.49,$30.48,"$11,199",,,,,,,,,,,,,,,,,,,,,,,
Horizon CU (MO),63844,4,Macon,,USA,MO,South Central,"$56,989,094",Very Small,"5,860","$50,599,361","9,050","$40,189,526","39,245",79.4%,,,,,"$9,725",8.24,$3.32,"$1,880",,,,,,,,,,,,,,,,,,,,,,,
Rimrock,63183,4,Billings,,USA,MT,Cascadia,"$56,953,701",Very Small,"3,427","$49,033,039","5,763","$17,573,686","1,869",35.8%,,,,,"$16,619",2.23,$52.66,"$8,727",,,,,,,,,,,,,,,,,,,,,,,
Ark Valley,62894,4,Arkansas City,,USA,KS,South Central,"$56,849,677",Very Small,"9,905","$49,322,382","14,887","$34,601,869","3,349",70.2%,,,,,"$5,739",1.84,$14.80,"$4,602",,,,,,,,,,,,,,,,,,,,,,,
Healthnet,9994,4,Cordova,,USA,TN,Southeast,"$56,792,660",Very Small,"4,776","$48,508,712","8,225","$15,591,497","1,152",32.1%,,,,,"$11,891",1.96,$2.99,"$6,836",,,,,,,,,,,,,,,,,,,,,,,
City,67924,4,Independence,,USA,MO,South Central,"$56,791,292",Very Small,"4,269","$49,653,765","8,360","$36,966,323","98,468",74.4%,,,,,"$13,303",25.02,$40.34,$811,,,,,,,,,,,,,,,,,,,,,,,
Lm,6039,4,Baltimore,,USA,MD,Mid-Atlantic,"$56,770,558",Very Small,"3,569","$51,040,526","6,096","$35,427,961","1,868",69.4%,,,,,"$15,907",2.23,$68.36,"$10,857",,,,,,,,,,,,,,,,,,,,,,,
Remington,2008,4,Ilion,,USA,NY,Mid-Atlantic,"$56,740,747",Very Small,"3,848","$48,836,357","6,842","$20,974,272","1,918",42.9%,,,,,"$14,746",2.28,$31.21,"$7,969",,,,,,,,,,,,,,,,,,,,,,,
Fargo Public Schools,47,4,Fargo,,USA,ND,Midwest,"$56,664,070",Very Small,"2,340","$49,685,773","5,039","$23,567,764","1,286",47.4%,,,,Y,"$24,215",2.70,$69.54,"$11,582",,,,,,,,,,,,,,,,,,,,,,,
Nordstrom FCU,1788,4,Seattle,Everett,USA,WA,Cascadia,"$56,616,348",Very Small,"5,195","$50,578,484","8,831","$37,791,905","2,237",74.7%,,,,,"$10,898",2.13,$3.28,"$7,984",Y,,,,,,,,,,,,,,,,,,,,,,
Summit,7182,4,Akron,,USA,OH,Midwest,"$56,608,465",Very Small,"4,778","$48,547,112","9,213","$32,705,653","1,989",67.4%,,,,,"$11,848",2.34,$42.28,"$7,253",,,,,,,,,,,,,,,,,,,,,,,
Common Trust,17847,4,Woburn,,USA,MA,New England,"$56,582,492",Very Small,"3,456","$54,093,254","6,526","$30,221,647","5,804",55.9%,,,,,"$16,372",3.57,$8.95,"$6,838",,,,,,,,,,,,,,,,,,,,,,,
New Jersey Law And Public Safety,66130,4,Trenton,,USA,NJ,Mid-Atlantic,"$56,568,202",Very Small,"7,693","$45,847,532","10,972","$40,488,283","3,161",88.3%,,,,,"$7,353",1.84,$29.78,"$6,109",,,,,,,,,,,,,,,,,,,,,,,
Gratiot Community,61986,4,Alma,,USA,MI,Midwest,"$56,540,009",Very Small,"6,701","$51,599,025","12,976","$42,218,547","4,478",81.8%,,,,,"$8,438",2.60,$11.46,"$5,375",,,,,,,,,,,,,,,,,,,,,,,
Baraga County,7672,4,Lanse,,USA,MI,Midwest,"$56,397,745",Very Small,"4,511","$53,651,707","9,215","$18,364,670","1,996",34.2%,,,,,"$12,502",2.49,$12.06,"$6,424",,,,,,,,,,,,,,,,,,,,,,,
Loudoun Credit Union,66954,4,Leesburg,,USA,VA,Mid-Atlantic,"$56,388,582",Very Small,"5,309","$49,517,863","9,004","$20,904,661","8,381",42.2%,,,,,"$10,621",3.27,-$9.43,"$4,051",,,,,,,,,,,,,,,,,,,,,,,
Rockland Employees,15080,4,Spring Valley,,USA,NY,Mid-Atlantic,"$56,320,865",Very Small,"7,653","$47,016,964","11,978","$42,344,195","4,757",90.1%,Y,,Y,,"$7,359",2.19,$20.83,"$5,340",,,,,,,,,,,,,,,,,,,,,,,
United Trades FCU,10442,4,Tualatin,,USA,OR,Cascadia,"$56,181,728",Very Small,"6,332","$49,515,092","17,376","$37,583,879","1,838",75.9%,,,,,"$8,873",3.03,$9.86,"$4,533",,,,,,,,,,,,,,,,,,,,,,,
Greater Eastern,67701,4,Johnson City,,USA,TN,Southeast,"$56,043,171",Very Small,"3,977","$48,068,671","7,249","$35,593,109","2,362",74.0%,,,,,"$14,092",2.42,$6.20,"$8,705",,,,,,,,,,,,,,,,,,,,,,,
Morrisons Cove 1st,9681,4,Roaring Spring,,USA,PA,Mid-Atlantic,"$55,987,126",Very Small,"4,508","$50,717,532","8,016","$23,486,433","1,660",46.3%,,,,,"$12,420",2.15,$18.73,"$7,669",,,,,,,,,,,,,,,,,,,,,,,
Cutting Edge FCU,8317,4,Portland,Milwaukie,USA,OR,Cascadia,"$55,951,501",Very Small,"3,902","$49,899,465","8,308","$22,698,726","2,339",45.5%,Y,Y,Y,,"$14,339",2.73,-$175.29,"$6,819",,,,,,,,,,,,,,,,,,,,,,,
Spirit Of America,24724,4,Lincoln,,USA,NE,Midwest,"$55,917,819",Very Small,"3,740","$50,067,334","6,320","$19,841,177","1,299",39.6%,,,,,"$14,951",2.04,$31.32,"$9,176",,,,,,,,,,,,,,,,,,,,,,,
Saratoga's Community,5252,4,Saratoga Spring,,USA,NY,Mid-Atlantic,"$55,878,004",Very Small,"5,303","$48,736,566","9,123","$53,027,516","2,454",108.8%,,,,,"$10,537",2.18,$8.79,"$8,790",,,,,,,,,,,,,,,,,,,,,,,
Clean Energy,24889,4,Englewood,,USA,CO,Western,"$55,873,875",Very Small,"8,968","$34,461,007","10,527","$45,991,070","6,806",133.5%,Y,,Y,,"$6,230",1.93,-$20.93,"$4,642",,,,,,,,,,,,,,,,,,,,,,,
Firstenergy Choice,839,4,Greensburg,,USA,PA,Mid-Atlantic,"$55,703,459",Very Small,"3,691","$47,043,779","6,181","$15,641,701","1,972",33.2%,,,,,"$15,092",2.21,$18.40,"$7,689",,,,,,,,,,,,,,,,,,,,,,,
Baton Rouge City Parish Emp,6339,4,Baton Rouge,,USA,LA,Southeast,"$55,578,027",Very Small,"5,989","$44,429,195","9,109","$20,915,218","2,472",47.1%,,,,,"$9,280",1.93,$55.34,"$5,642",,,,,,,,,,,,,,,,,,,,,,,
Millard County,60494,4,Fillmore,,USA,UT,Western,"$55,558,531",Very Small,"4,687","$49,636,845","9,468","$29,082,880","2,750",58.6%,,,,,"$11,854",2.61,$38.79,"$6,443",,,,,,,,,,,,,,,,,,,,,,,
Riverside Community,3775,4,Marion,,USA,IN,Midwest,"$55,510,139",Very Small,"5,906","$45,734,505","10,298","$44,834,979","3,140",98.0%,,,,,"$9,399",2.28,$19.89,"$6,740",,,,,,,,,,,,,,,,,,,,,,,
Toledo Metro,9189,4,Toledo,,USA,OH,Midwest,"$55,494,802",Very Small,"5,245","$50,329,609","10,075","$27,691,143","6,733",55.0%,Y,,Y,,"$10,581",3.20,$3.50,"$4,642",,,,,,,,,,,,,,,,,,,,,,,
South Bend Firefighters,13279,4,South Bend,,USA,IN,Midwest,"$55,461,366",Very Small,"3,361","$41,749,881","6,894","$38,418,176","2,511",92.0%,,,,Y,"$16,501",2.80,$36.95,"$8,524",,,,,,,,,,,,,,,,,,,,,,,
