4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
Coastal1,67278,6,Pawtucket,,USA,RI,New England,"$3,326,319,586",Large,"140,602","$2,465,110,110","219,094","$2,909,917,337","54,639",118.0%,,,,,"$23,658",1.95,$29.82,"$19,636",,,,,,,,,,,,,,,,,,,,,,,
NuVision FCU (NuVision CU),566,6,Los Angeles,Huntington Beach,USA,CA,Western,"$3,319,681,727",Large,"161,878","$2,520,126,680","334,263","$2,540,341,886","92,097",100.8%,,Y,Y,Y,"$20,507",2.63,$19.25,"$11,869",Y,,,,,,,,,,,,,,,,,,,,,,
Educators CU (WI),66448,6,Racine,,USA,WI,Midwest,"$3,319,399,872",Large,"230,269","$2,901,779,664","576,168","$2,252,796,079","131,180",77.6%,,,,,"$14,415",3.07,$44.74,"$7,287",,,,,,Y,,,Y,,,,,,,,,,,,,,
All In CU,17642,6,Daleville,,USA,AL,Southeast,"$3,299,052,178",Large,"183,843","$2,642,013,734","348,878","$2,460,567,095","116,911",93.1%,,,,Y,"$17,945",2.53,$42.37,"$10,955",,,,,,Y,,,,,,,,,,,,,,,,,
TruMark Financial CU,66158,6,Philadelphia,Ft Washington,USA,PA,Mid-Atlantic,"$3,294,661,548",Large,"143,113","$2,694,150,526","334,278","$2,334,106,536","85,395",86.6%,,,,Y,"$23,021",2.93,$33.78,"$11,981",Y,Y,,,,,Y,Y,,,,,,,,,Y,,Y,,,,Mostly through Andy Turner
Coastal Community CU (BC),,,Nanaimo,,Canada,BC,Cascadia,"C$3,294,620,987",Large,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
CAMPUS USA CU,68391,6,Gainesville,,USA,FL,Southeast,"$3,281,898,735",Large,"158,938","$2,745,739,807","264,528","$2,745,925,603","102,268",100.0%,,,,,"$20,649",2.31,$63.74,"$14,972",Y,Y,Y,,,Y,,,Y,,,,,,,,,,,,,,
Dupaco Community CU,64049,6,Dubuque,,USA,IA,Midwest,"$3,256,860,975",Large,"165,604","$2,563,013,321","367,559","$2,364,074,508","97,977",92.2%,,Y,Y,Y,"$19,667",2.81,$48.70,"$10,584",Y,,,,,,,,,,,,,,,,,,,,Y,,
Goldenwest,24693,6,Ogden,,USA,UT,Western,"$3,195,693,449",Large,"187,678","$2,717,277,905","576,463","$2,514,742,032","138,702",92.5%,Y,Y,Y,,"$17,028",3.81,$57.99,"$7,316",,,,,,,,,,,,,,,,,,,,,,,
Indiana Members,68259,6,Indianapolis,,USA,IN,Midwest,"$3,182,352,212",Large,"162,414","$2,766,367,055","324,190","$1,830,844,027","68,324",66.2%,,,,,"$19,594",2.42,$37.37,"$11,712",Y,,,,,,,,,,,,,,,,,,,,,,
